City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Kelsterbach,50.0667,8.5333,40.48,79,75,19.57,DE,2023-01-17 02:18:35
99,Thompson,55.7435,-97.8558,10.56,85,100,2.3,CA,2023-01-17 02:18:35
100,Ribeira Grande,38.5167,-28.7,57.65,73,94,11.56,PT,2023-01-17 02:18:36
101,Itarema,-2.9248,-39.9167,75.9,86,100,3.51,BR,2023-01-17 02:18:37
102,Biak,-0.9131,122.8766,82.94,68,78,2.06,ID,2023-01-17 02:18:38
103,Novo Aripuana,-5.1206,-60.3797,73.33,98,98,1.63,BR,2023-01-17 02:18:39
104,Esperance,-33.8667,121.9,62.28,57,94,14.2,AU,2023-01-17 02:18:39
105,Atuona,-9.8,-139.0333,78.19,76,15,16.08,PF,2023-01-17 02:18:40
106,Beloha,-25.1667,45.05,73.33,81,0,8.19,MG,2023-01-17 02:18:41
107,Hobart,-42.8794,147.3294,82.06,51,20,14.97,AU,2023-01-17 02:15:08
108,San Jeronimo,-11.9472,-75.2829,50.18,81,83,3.31,PE,2023-01-17 02:18:42
109,Dakar,14.6937,-17.4441,79.68,49,100,14.45,SN,2023-01-17 02:15:22
110,Khor,47.8861,134.9464,-6.45,89,96,4.34,RU,2023-01-17 02:18:44
111,Katherine,-14.4667,132.2667,89.92,62,40,8.05,AU,2023-01-17 02:18:45
112,Kiruna,67.8557,20.2251,-4.29,96,44,3.53,SE,2023-01-17 02:14:48
113,Palmer,42.1584,-72.3287,34.47,71,40,9.22,US,2023-01-17 02:18:47
114,Mataura,-46.1927,168.8643,68.59,51,87,6.44,NZ,2023-01-17 02:18:47
115,Camana,-16.6228,-72.7111,71.37,82,88,5.03,PE,2023-01-17 02:18:48
116,Hilo,19.7297,-155.09,78.53,77,0,14.97,US,2023-01-17 02:18:49
117,Nantucket,41.2835,-70.0995,35.65,87,100,12.66,US,2023-01-17 02:15:05
118,Cayenne,4.9333,-52.3333,75.24,94,100,5.75,GF,2023-01-17 02:18:50
119,Richards Bay,-28.783,32.0377,71.11,92,86,9.64,ZA,2023-01-17 02:18:50
120,West Bay,19.3667,-81.4167,73.47,73,20,6.91,KY,2023-01-17 02:18:51
121,Kenai,60.5544,-151.2583,32.09,90,100,18.41,US,2023-01-17 02:18:52
122,Bredasdorp,-34.5322,20.0403,69.8,92,100,16.02,ZA,2023-01-17 02:18:52
123,Nishihara,26.1842,127.7558,63.68,63,75,13.8,JP,2023-01-17 02:18:53
124,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.19,99,100,2.28,BR,2023-01-17 02:18:54
125,Linhares,-19.3911,-40.0722,71.51,94,3,1.12,BR,2023-01-17 02:18:54
126,Ostrovnoy,68.0531,39.5131,29.75,86,74,23.6,RU,2023-01-17 02:18:55
127,Pauini,-7.7136,-66.9764,69.85,99,99,2.28,BR,2023-01-17 02:18:55
128,Mragowo,53.8644,21.3051,33.8,97,100,11.72,PL,2023-01-17 02:18:56
129,Swan River,52.1058,-101.2676,13.89,92,99,5.75,CA,2023-01-17 02:18:56
130,Mhango,-3.2833,32.85,60.93,92,91,4.09,TZ,2023-01-17 02:18:57
131,Peniche,39.3558,-9.3811,58.28,93,100,29.48,PT,2023-01-17 02:18:58
132,Igatpuri,19.7,73.55,58.87,41,0,4.21,IN,2023-01-17 02:18:59
133,Butaritari,3.0707,172.7902,80.76,79,17,14.67,KI,2023-01-17 02:18:59
134,Goreloye,52.937,41.5043,19.85,95,100,8.43,RU,2023-01-17 02:20:00
135,Port Elizabeth,-33.918,25.5701,71.31,99,100,8.05,ZA,2023-01-17 02:20:01
136,Brzesko,49.9691,20.6061,40.24,86,100,10.45,PL,2023-01-17 02:20:01
137,Klaksvik,62.2266,-6.589,25.72,60,100,20.11,FO,2023-01-17 02:20:02
138,Manavalakurichi,8.1333,77.3,73.71,78,28,8.08,IN,2023-01-17 02:20:03
